Group.1	P32DA1	P32DA2	P32DA3	P32DB1	P32DB2	P32DB3	P32HA1	P32HA2	P32HA3	P32HB1	P32HB2	P32HB3	P60DA1	P60DA2	P60DA3	P60DB1	P60DB2	P60DB3	P60HA1	P60HA2	P60HA3	P60HB1	P60HB2	P60HB3
Rnf2	2021.212	283.574	1813.682	2142.002	157.238	1707.32	1394.511	268.652	1423.216	1561.435	247.075	1302.608	1724.466	1221.36	1162.339	1791.313	1405.92	1394.319	1397.091	906.472	1340.129	1502.679	1312.351	1359.048
Rnf20	4152.329	3035.4906666666666	3662.9423333333334	4572.593666666667	2011.3283333333334	3319.2619999999997	3907.9303333333332	2333.397	5149.836	3396.5543333333335	2464.9083333333333	4366.549	4582.644333333334	4074.949666666667	3394.356666666667	4187.980333333333	2721.8376666666663	4747.314666666666	4043.7263333333335	3688.5243333333333	5839.117333333334	4240.653	3089.865333333333	4940.777999999999
Rnf25	1906.926	2972.855	1302.537	2134.782	3252.427	1284.186	1941.934	2621.037	1653.239	2167.759	2512.812	1759.622	2170.826	1604.917	2251.533	2107.979	1934.544	1968.611	1844.978	2330.132	1753.311	1786.877	2221.016	1821.986
Rnf26	2402.977	962.173	1781.908	2216.99	337.623	1859.721	1978.19	868.398	2603.227	742.42	1041.159	2511.742	1605.773	5574.301	1365.255	1976.461	640.852	2943.036	2331.401	582.865	2524.918	2275.539	303.694	2152.658
Rnf3	7847.225	3679.105	4341.485	7110.324	4172.4	4288.151	4232.171	4978.311	5509.239	6478.579	4020.447	6086.416	6019.923	5168.153	5901.78	5955.804	8986.312	5639.953	7094.427	6551.716	5426.551	6161.924	7740.767	5940.367
Rnf31	1619.489	4313.753	1471.944	1689.251	3747.881	1291.793	2461.345	2401.738	1388.098	2575.387	2037.189	1398.384	1936.284	2067.402	2311.797	1821.382	1285.509	2083.98	1998.331	1668.834	1810.256	1532.787	1515.083	1936.441
Rnf32	324.824	120.189	409.68	341.476	162.559	423.121	318.406	166.475	324.018	356.806	119.004	245.494	326.051	147.899	422.574	277.801	89.075	203.97	337.089	366.828	418.473	383.561	168.015	295.081
Rnf34	5991.743	1928.659	4604.166	6334.969	1139.733	4542.245	4811.82	2281.879	5720.335	4817.713	2470.385	5039.076	5444.204	4458.71	4043.064	5260.08	4130.022	5396.253	6328.244	6381.076	6289.731	5754.59	5073.827	5986.412
Rnf36	241.241	197.276	379.418	261.394	419.481	264.262	241.986	98.086	125.852	292.571	110.852	204.909	310.615	154.433	595.701	331.489	234.009	330.605	99.958	242.742	204.856	148.395	195.083	241.027
Rnf38	350.635	256.538	357.683	269.424	251.256	338.614	204.766	376.223	342.309	196.691	349.93	305.12	327.435	379.145	350.044	331.801	987.033	401.599	252.701	344.216	405.599	271.684	360.973	310.252
Rnf4	9263.759	2902.267	7076.057	8405.119	1717.7	6206.701	4794.282	2390.547	9027.932	4073.16	2427.806	7390.479	8045.606	7302.633	5100.595	7719.688	5346.005	8390.002	7664.412	5192.486	9368.959	7631.3	4881.249	7926.442
Rnf40	906.484	987.198	379.312	956.741	785.196	534.308	974.107	676.526	647.784	478.429	813.024	647.734	871.394	738.508	845.018	785.896	607.674	1163.834	997.397	602.064	1000.935	718.085	496.827	927.705
Rnf41	1930.347	3664.411	1536.401	1950.251	1726.27	1464.02	2104.225	2234.235	1802.819	1909.002	1847.371	1611.579	1682.64	2933.05	2254.343	1610.974	1847.335	2400.165	2207.061	2420.242	2345.759	1481.873	2025.986	2021.416
Rnf44	433.895	938.694	322.332	395.64	1119.202	256.585	182.168	948.882	424.677	126.777	1006.274	497.219	312.75	680.712	203.15	326.715	2326.758	444.8	378.325	894.687	411.336	348.006	831.674	318.821
Rnf6	4076.853	2428.435	2502.668	3707.346	851.175	2346.82	2588.251	2026.291	4854.436	1741.632	2005.718	3457.075	4244.409	4661.312	1974.969	3645.672	1864.463	4741.858	4714.331	2855.607	6160.5	4307.92	1879.004	4842.198
